Month,Small,Big,Total
2022-01-01,6990,5112,12102
2022-02-01,26108,25502,51610
2022-03-01,11869,6121,17990
2022-04-01,9504,6283,15787
2022-05-01,11178,9287,20465
2022-06-01,13902,8165,22067
2022-07-01,10530,5904,16434
2022-08-01,14919,9436,24355
2022-09-01,9123,11570,20693
2022-10-01,10222,7674,17896
2022-11-01,10981,5857,16838
2022-12-01,763,241,1004
2023-01-01,4628,2692,7320
2023-02-01,8024,4876,12900
2023-03-01,7400,4148,11548
2023-04-01,9805,4389,14194
2023-05-01,11966,8617,20583
2023-06-01,11371,7017,18388
